Unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
10,41.0,no,non-travel,2060.7063492063494,desconocido,7,1,desconocido,11,2,male,69.53208262471655,1,5,research_director,3,desconocido,16644.17,43274.83,1,Y,No,22,4.0,2,Full Time,2,10.0,3,3.0,21,5,10,1982,199730.0,0
11,56.0,no,travel_rarely,1382.7460317460318,desconocido,23,3,Life Sciences,12,4,female,172.84325396825398,3,4,manufacturing_director,2,Married,4492.84,29037.67,4,desconocido,Yes,12,3.0,1,Full Time,1,33.0,0,3.0,19,15,9,1967,134020.0,false
12,38.0,no,desconocido,1362.5238095238096,desconocido,10,3,Medical,13,2,male,69.53208262471655,1,3,research_director,3,Married,4492.84,28613.0,3,Y,No,12,3.0,1,Full Time,1,10.0,3,3.0,18,1,11,1985,132060.0,1
13,41.0,yes,travel_rarely,2016.547619047619,desconocido,12,3,desconocido,14,2,male,69.53208262471655,3,5,research_director,3,Married,4492.84,42347.5,1,desconocido,No,12,3.0,4,Full Time,0,10.0,0,3.0,22,15,8,1982,195450.0,false
14,55.0,no,desconocido,1973.9841269841268,desconocido,14,4,Medical,15,3,female,69.53208262471655,4,5,research_director,2,Single,15943.72,41453.67,8,desconocido,No,11,3.0,4,desconocido,0,10.0,3,3.0,24,2,15,1968,53914.11,true
15,40.0,no,travel_rarely,1861.373015873016,desconocido,2,4,desconocido,16,3,male,69.53208262471655,3,5,manager,3,desconocido,15034.17,39088.83,0,desconocido,No,14,3.0,4,Full Time,0,10.0,2,3.0,20,1,12,1983,180410.0,0
16,58.0,yes,travel_rarely,1985.6984126984123,desconocido,2,4,desconocido,17,4,female,69.53208262471655,3,5,research_director,2,Single,16038.33,41699.67,7,Y,Yes,12,3.0,4,Full Time,0,40.0,2,3.0,31,13,8,1965,192460.0,0
17,46.0,no,travel_rarely,1582.7713464696226,desconocido,2,3,desconocido,18,3,male,69.53208262471655,3,4,manager,1,desconocido,12783.92,33238.2,8,desconocido,desconocido,23,4.0,1,desconocido,0,28.0,2,3.0,26,15,9,1977,53914.11,false
18,35.0,no,desconocido,556.2566609977324,desconocido,13,5,Life Sciences,19,2,female,69.53208262471655,4,2,research_scientist,1,Married,4492.84,11681.39,1,desconocido,desconocido,11,3.0,4,desconocido,0,10.0,2,3.0,16,1,10,1988,53914.11,false
19,40.0,no,travel_rarely,1032.4872861766066,desconocido,15,3,Life Sciences,20,1,male,69.53208262471655,2,3,manufacturing_director,3,desconocido,8339.32,21682.23,1,Y,desconocido,13,3.0,4,desconocido,2,18.0,2,3.0,18,14,12,1983,53914.11,true
20,45.0,no,non-travel,1108.920634920635, Research & Development ,1,1,desconocido,21,3,female,69.53208262471655,2,3,healthcare_representative,3,desconocido,8956.67,23287.33,3,Y,desconocido,23,4.0,4,Full Time,1,25.0,3,2.0,23,14,4,1978,107480.0,false
21,33.0,no,desconocido,1032.4872861766066,desconocido,1,2,Life Sciences,22,1,male,69.53208262471655,3,3,research_director,4,Single,4492.84,21682.23,1,desconocido,Yes,12,3.0,3,Part Time,0,15.0,1,3.0,15,8,12,1990,100071.84,true
22,36.0,no,desconocido,1032.4872861766066,desconocido,8,3,desconocido,23,3,male,69.53208262471655,3,3,healthcare_representative,3,Divorced,4492.84,21682.23,1,Y,desconocido,13,3.0,2,desconocido,3,17.0,2,3.0,17,12,8,1987,100071.84,1
23,47.0,no,desconocido,1728.3809523809523,desconocido,2,2,Other,24,3,male,216.0476190476191,3,4,manager,4,Married,4492.84,36296.0,1,desconocido,desconocido,11,3.0,3,Full Time,1,10.0,3,2.0,26,3,0,1976,167520.0,false
24,36.0,no,travel_rarely,639.7857142857143,desconocido,42,2,Life Sciences,25,42,female,79.97321428571429,3,2,sales_executive,4,desconocido,5167.5,13435.5,1,Y,desconocido,14,3.0,4,Full Time,1,18.0,1,3.0,18,4,11,1987,62010.0,true
25,35.0,no,desconocido,1032.4872861766066,desconocido,9,3,Life Sciences,26,4,male,129.06091077207583,2,3,manufacturing_director,3,Married,4492.84,21682.23,1,Y,Yes,20,4.0,2,Part Time,1,17.0,2,3.0,17,5,15,1988,100071.84,false
26,52.0,yes,desconocido,2047.5,desconocido,2,1,desconocido,27,1,male,69.53208262471655,1,5,manager,4,Married,4492.84,42997.5,1,Y,No,15,3.0,4,Full Time,1,33.0,3,3.0,32,6,9,1971,198450.0,1
27,36.0,no,desconocido,556.2566609977324,desconocido,2,4,Life Sciences,28,3,male,69.53208262471655,3,2,manufacturing_director,2,Single,4492.84,11681.39,9,Y,Yes,11,3.0,4,desconocido,0,18.0,2,3.0,16,5,12,1987,53914.11,0
28,33.0,no,travel_rarely,556.2566609977324,desconocido,28,4,Life Sciences,29,2,female,69.53208262471655,3,2,laboratory_technician,3,Married,4492.84,11681.39,1,Y,desconocido,12,3.0,2,Part Time,1,15.0,3,3.0,15,5,7,1990,53914.11,yes
29,34.0,no,non-travel,412.8015873015873, Sales ,10,3,Life Sciences,30,4,female,69.53208262471655,3,2,sales_executive,3,desconocido,3334.17,8668.83,1,Y,Yes,14,3.0,3,Part Time,1,15.0,3,3.0,15,0,7,1989,40010.0,1
30,41.0,no,desconocido,1077.8650793650793, Sales ,37,1,desconocido,31,37,male,69.53208262471655,3,3,sales_executive,3,Divorced,8705.83,22635.17,0,desconocido,desconocido,13,3.0,4,Full Time,1,10.0,3,4.0,22,13,5,1982,104470.0,yes
31,36.0,no,desconocido,1032.4872861766066, Research & Development ,25,3,Medical,32,1,female,69.53208262471655,3,3,healthcare_representative,3,desconocido,8339.32,21682.23,2,desconocido,desconocido,23,4.0,2,desconocido,0,25.0,3,3.0,17,12,11,1976,53914.11,yes
32,53.0,no,travel_rarely,1973.9841269841268,desconocido,5,3,desconocido,33,3,male,246.74801587301585,3,5,manager,3,desconocido,15943.72,41453.67,4,desconocido,desconocido,11,3.0,4,Full Time,1,26.0,3,2.0,14,4,8,1970,191324.62,yes
33,35.0,no,desconocido,556.2566609977324,desconocido,1,4,Marketing,34,3,female,69.53208262471655,2,2,sales_executive,1,Single,4492.84,11681.39,0,Y,No,14,3.0,2,Part Time,0,16.0,2,3.0,15,2,8,1988,53914.11,0
34,34.0,no,travel_rarely,556.2566609977324,desconocido,6,4,Other,35,1,male,69.53208262471655,3,2,research_scientist,3,Single,4492.84,11681.39,1,Y,desconocido,14,3.0,3,desconocido,0,16.0,3,3.0,16,2,10,1989,53914.11,true
35,46.0,no,travel_rarely,1032.4872861766066,desconocido,1,2,desconocido,36,2,male,69.53208262471655,3,3,sales_executive,1,Divorced,8339.32,21682.23,1,desconocido,No,25,4.0,3,Part Time,3,24.0,2,3.0,24,15,7,1977,100071.84,yes
36,43.0,no,desconocido,1657.3968253968255,desconocido,16,3,desconocido,37,4,male,207.1746031746032,3,4,manager,4,Married,4492.84,34805.33,5,desconocido,desconocido,22,4.0,3,Full Time,1,22.0,3,3.0,17,1,9,1980,160640.0,1
37,36.0,no,desconocido,331.1904761904762, Research & Development ,6,3,Life Sciences,38,4,female,69.53208262471655,3,1,laboratory_technician,4,Married,2675.0,6955.0,0,desconocido,desconocido,11,3.0,3,Full Time,1,16.0,4,3.0,15,10,11,1987,32100.0,true
38,60.0,no,travel_frequently,1059.1904761904764,desconocido,28,3,desconocido,39,3,male,69.53208262471655,2,3,sales_executive,1,Married,8555.0,22243.0,4,Y,No,19,3.0,4,Full Time,0,22.0,5,4.0,18,13,11,1963,102660.0,1
39,40.0,no,travel_frequently,1080.7539682539684,desconocido,5,4,desconocido,40,4,female,69.53208262471655,2,3,sales_executive,1,Married,8729.17,22695.83,5,desconocido,Yes,21,4.0,3,Full Time,1,20.0,2,3.0,18,1,12,1983,104750.0,0
40,32.0,no,travel_rarely,635.7619047619048,desconocido,4,3,desconocido,41,3,male,69.53208262471655,2,2,manufacturing_director,3,Married,4492.84,13351.0,1,Y,No,12,3.0,3,Full Time,1,14.0,3,3.0,14,6,8,1991,61620.0,0
41,41.0,no,travel_rarely,487.0873015873016,desconocido,35,3,desconocido,42,35,female,60.8859126984127,3,1,laboratory_technician,1,Single,3934.17,10228.83,2,desconocido,Yes,13,3.0,3,Full Time,0,20.0,3,3.0,18,2,17,1982,47210.0,1
42,53.0,no,desconocido,1582.7713464696226,desconocido,2,2,Medical,43,3,female,69.53208262471655,3,4,manager,3,Divorced,12783.92,33238.2,6,desconocido,No,13,3.0,3,Full Time,1,22.0,3,4.0,17,15,2,1970,153407.07,false
43,36.0,yes,travel_rarely,290.03550973654063,desconocido,16,4,desconocido,44,3,male,36.25443871706758,4,1,laboratory_technician,1,Single,4492.84,6090.75,1,Y,desconocido,16,3.0,3,Part Time,0,18.0,1,3.0,17,15,14,1987,28111.13,yes
44,46.0,no,desconocido,476.1507936507937,desconocido,8,4,Life Sciences,45,4,male,69.53208262471655,2,2,research_scientist,1,Divorced,3845.83,9999.17,8,desconocido,Yes,23,4.0,1,Part Time,3,10.0,2,3.0,16,1,7,1977,46150.0,0
45,38.0,no,travel_rarely,556.2566609977324,desconocido,1,4,desconocido,46,4,female,69.53208262471655,3,2,sales_executive,2,Married,4492.84,11681.39,0,desconocido,No,15,3.0,1,desconocido,2,16.0,3,3.0,15,5,8,1985,53914.11,1
46,51.0,no,desconocido,1032.4872861766066,desconocido,1,4,desconocido,47,1,male,69.53208262471655,2,3,healthcare_representative,1,Single,8339.32,21682.23,3,desconocido,desconocido,20,4.0,3,Part Time,0,23.0,1,2.0,13,12,8,1972,100071.84,true
47,43.0,no,desconocido,1749.7380952380954,desconocido,26,2,desconocido,48,3,female,69.53208262471655,3,4,manager,4,Married,14132.5,36744.5,1,desconocido,Yes,12,3.0,4,Full Time,2,25.0,3,4.0,25,4,12,1980,169590.0,1
48,37.0,no,desconocido,290.03550973654063,desconocido,1,3,Life Sciences,49,4,male,69.53208262471655,3,1,research_scientist,4,Single,4492.84,6090.75,1,desconocido,No,12,3.0,2,Part Time,0,10.0,3,3.0,17,5,7,1986,28111.13,yes
49,32.0,no,travel_rarely,556.2566609977324,desconocido,8,2,Technical Degree,50,3,male,69.53208262471655,2,2,sales_executive,2,Married,4492.84,11681.39,1,desconocido,Yes,11,3.0,4,Part Time,0,10.0,2,3.0,13,11,9,1991,53914.11,true
50,38.0,no,desconocido,1032.4872861766066,desconocido,1,3,desconocido,51,4,male,69.53208262471655,3,3,research_director,1,Married,8339.32,21682.23,1,desconocido,desconocido,13,3.0,2,Part Time,1,15.0,3,3.0,15,5,11,1985,100071.84,false
51,46.0,no,desconocido,1582.7713464696226,desconocido,3,3,Life Sciences,52,3,male,69.53208262471655,3,4,manager,2,desconocido,12783.92,33238.2,8,desconocido,No,12,3.0,4,Full Time,1,23.0,2,4.0,13,5,1,1977,153407.07,yes
52,35.0,yes,travel_rarely,1063.3174603174605,desconocido,10,3,Medical,53,4,female,69.53208262471655,2,3,sales_executive,1,Married,8588.33,22329.67,9,desconocido,desconocido,17,3.0,3,desconocido,0,15.0,3,3.0,13,6,0,1988,53914.11,0
53,43.0,no,desconocido,1973.9841269841268,desconocido,6,3,Medical,54,1,male,69.53208262471655,2,5,manager,3,Married,15943.72,41453.67,7,desconocido,No,13,3.0,4,desconocido,0,21.0,2,3.0,16,6,14,1980,53914.11,yes
54,56.0,no,non-travel,556.2566609977324,desconocido,1,4,Life Sciences,55,3,female,69.53208262471655,3,2,healthcare_representative,3,Divorced,4492.84,11681.39,1,Y,No,21,3.0,1,desconocido,1,10.0,2,2.0,13,1,9,1967,53914.11,yes
55,36.0,no,non-travel,557.7619047619048,desconocido,15,4,Marketing,56,4,female,69.53208262471655,1,2,sales_executive,4,divorced,4505.0,11713.0,1,Y,No,24,4.0,1,Full Time,1,10.0,4,2.0,15,11,11,1987,54060.0,1
56,38.0,no,desconocido,556.2566609977324,desconocido,6,3,Medical,57,2,male,69.53208262471655,1,2,research_scientist,4,desconocido,4492.84,11681.39,7,Y,desconocido,12,3.0,4,Part Time,3,17.0,3,3.0,13,1,9,1985,53914.11,yes
57,49.0,no,desconocido,556.2566609977324,desconocido,26,4,Medical,58,3,male,69.53208262471655,3,2,manufacturing_director,1,desconocido,4492.84,11681.39,1,desconocido,No,14,3.0,3,Part Time,0,16.0,2,2.0,15,5,11,1974,53914.11,0
58,39.0,no,travel_rarely,608.936507936508,desconocido,4,4,Life Sciences,59,4,male,69.53208262471655,2,2,sales_executive,3,Married,4918.33,12787.67,4,desconocido,desconocido,14,3.0,3,Full Time,1,17.0,1,4.0,15,5,9,1984,59020.0,yes
59,40.0,no,desconocido,1119.9603174603176,desconocido,4,4,desconocido,60,3,female,139.9950396825397,2,3,sales_executive,4,Married,4492.84,23519.17,7,Y,No,11,3.0,1,Full Time,1,15.0,2,2.0,12,2,11,1983,108550.0,yes
60,36.0,no,desconocido,610.1746031746031,desconocido,5,2,desconocido,61,4,female,69.53208262471655,3,2,laboratory_technician,2,Single,4928.33,12813.67,8,Y,No,16,3.0,4,Full Time,0,16.0,3,4.0,13,3,7,1987,59140.0,1
61,37.0,no,desconocido,556.2566609977324,desconocido,25,5,desconocido,62,2,male,69.53208262471655,3,2,research_scientist,3,Married,4492.84,11681.39,3,Y,Yes,15,3.0,1,desconocido,2,15.0,2,3.0,13,10,7,1986,53914.11,0
62,35.0,no,desconocido,685.6984126984128,desconocido,6,4,desconocido,63,2,female,69.53208262471655,1,2,research_scientist,4,desconocido,5538.33,14399.67,1,Y,desconocido,13,3.0,2,Full Time,0,10.0,3,3.0,17,11,8,1988,66460.0,yes
63,33.0,no,travel_frequently,556.2566609977324,desconocido,6,3,Life Sciences,64,3,female,69.53208262471655,3,2,healthcare_representative,4,Divorced,4492.84,11681.39,3,desconocido,No,23,4.0,3,Part Time,1,15.0,2,1.0,13,4,7,1990,53914.11,false
64,50.0,no,travel_rarely,1441.65873015873, Research & Development ,24,3,desconocido,65,4,female,69.53208262471655,3,4,manufacturing_director,3,Married,4492.84,30274.83,3,desconocido,Yes,18,3.0,4,Full Time,1,22.0,2,3.0,12,1,5,1973,139730.0,false
65,48.0,no,travel_rarely,1032.4872861766066,desconocido,4,4,desconocido,66,3,female,69.53208262471655,2,3,healthcare_representative,3,Single,4492.84,21682.23,7,desconocido,desconocido,14,3.0,2,Part Time,0,27.0,3,3.0,15,4,8,1975,100071.84,yes
66,44.0,no,travel_rarely,1374.2857142857142, Sales ,28,3,desconocido,67,4,male,69.53208262471655,4,4,sales_executive,4,Married,11100.0,28860.0,3,desconocido,desconocido,18,3.0,3,desconocido,1,10.0,2,3.0,12,11,11,1979,53914.11,1
67,44.0,no,travel_rarely,556.2566609977324,desconocido,29,4,desconocido,68,4,female,69.53208262471655,3,2,research_scientist,4,Single,4492.84,11681.39,1,Y,desconocido,25,4.0,2,Part Time,0,10.0,3,3.0,20,13,17,1979,53914.11,yes
68,40.0,no,desconocido,556.2566609977324,desconocido,25,1,desconocido,69,25,male,69.53208262471655,4,2,healthcare_representative,3,desconocido,4492.84,11681.39,5,desconocido,No,20,4.0,2,Part Time,3,15.0,0,3.0,12,11,8,1983,53914.11,true
69,34.0,no,travel_rarely,689.9285714285714,desconocido,2,4,desconocido,70,3,male,86.24107142857143,3,2,healthcare_representative,4,Single,5572.5,14488.5,1,desconocido,desconocido,11,3.0,4,Full Time,0,14.0,2,4.0,14,4,11,1989,66870.0,true
70,35.0,no,non-travel,556.2566609977324, Research & Development ,8,4,desconocido,71,3,male,69.53208262471655,3,2,healthcare_representative,3,desconocido,4492.84,11681.39,1,desconocido,desconocido,12,3.0,4,Part Time,1,10.0,5,3.0,14,2,9,1988,53914.11,true
71,50.0,no,desconocido,1032.4872861766066,desconocido,17,5,Life Sciences,72,4,male,69.53208262471655,2,3,research_director,1,desconocido,4492.84,21682.23,5,desconocido,No,15,3.0,3,Part Time,3,10.0,3,3.0,14,1,11,1973,100071.84,0
72,49.0,no,desconocido,1582.7713464696226,desconocido,6,1,Life Sciences,73,3,male,197.8464183087028,2,4,healthcare_representative,3,desconocido,12783.92,33238.2,2,desconocido,desconocido,19,3.0,2,Full Time,1,10.0,3,3.0,15,2,12,1974,153407.07,yes
73,38.0,no,travel_frequently,488.531746031746,desconocido,1,3,Life Sciences,74,4,female,61.06646825396825,3,2,research_scientist,4,desconocido,4492.84,10259.17,7,Y,No,15,3.0,4,Part Time,2,19.0,4,3.0,13,2,9,1985,47350.0,true
74,33.0,no,desconocido,290.03550973654063,desconocido,21,3,desconocido,75,2,female,69.53208262471655,4,1,laboratory_technician,2,desconocido,4492.84,6090.75,1,desconocido,No,18,3.0,4,Part Time,3,14.0,6,3.0,14,2,13,1990,28111.13,true
75,47.0,no,travel_rarely,1032.4872861766066,desconocido,4,3,Life Sciences,76,3,male,69.53208262471655,2,3,manufacturing_director,2,Divorced,8339.32,21682.23,8,desconocido,Yes,12,3.0,3,Part Time,1,10.0,4,3.0,22,14,10,1976,100071.84,yes
76,38.0,no,desconocido,556.2566609977324, Research & Development ,8,3,desconocido,77,4,male,69.53208262471655,2,2,research_scientist,2,Divorced,4492.84,11681.39,1,desconocido,desconocido,16,3.0,3,desconocido,1,20.0,3,3.0,20,0,7,1985,53914.11,0
77,37.0,no,travel_rarely,1032.4872861766066,desconocido,10,3,Life Sciences,78,3,male,69.53208262471655,4,3,research_director,4,desconocido,8339.32,21682.23,1,desconocido,Yes,25,4.0,1,Part Time,1,16.0,2,3.0,16,6,8,1986,100071.84,yes
78,30.0,no,desconocido,556.2566609977324,desconocido,2,3,desconocido,79,3,female,69.53208262471655,2,2,healthcare_representative,4,Married,4492.84,11681.39,1,desconocido,No,19,3.0,1,Part Time,3,11.0,3,3.0,11,10,8,1993,53914.11,yes
79,36.0,no,travel_rarely,1431.2380952380954,desconocido,18,4,desconocido,80,4,female,69.53208262471655,3,4,sales_executive,3,Single,11560.0,30056.0,0,desconocido,desconocido,13,3.0,3,Full Time,0,38.0,1,2.0,37,1,8,1965,138720.0,1
80,34.0,no,travel_rarely,1032.4872861766066,desconocido,5,3,desconocido,81,3,male,69.53208262471655,2,3,manager,1,Single,8339.32,21682.23,2,desconocido,desconocido,12,3.0,4,desconocido,0,14.0,6,3.0,11,5,8,1989,53914.11,0
81,58.0,yes,travel_rarely,1032.4872861766066,desconocido,23,4,Medical,82,4,male,69.53208262471655,3,3,healthcare_representative,4,Married,8339.32,21682.23,1,desconocido,desconocido,12,3.0,4,Part Time,1,40.0,3,2.0,40,15,6,1965,100071.84,yes
82,38.0,no,desconocido,1032.4872861766066,desconocido,3,3,Life Sciences,83,1,female,69.53208262471655,3,3,sales_executive,3,Divorced,8339.32,21682.23,0,Y,desconocido,12,3.0,3,desconocido,2,10.0,6,2.0,16,5,13,1985,53914.11,1
83,29.0,no,travel_frequently,1032.4872861766066,desconocido,1,1,desconocido,84,2,male,69.53208262471655,3,3,sales_executive,4,Married,8339.32,21682.23,1,Y,desconocido,14,3.0,4,Part Time,1,11.0,5,3.0,11,4,1,1994,100071.84,true
84,55.0,no,travel_rarely,1964.9603174603176,desconocido,1,3,Medical,85,4,female,245.6200396825397,3,5,manager,1,Single,15870.83,41264.17,0,Y,desconocido,14,3.0,3,Full Time,0,37.0,2,3.0,36,4,13,1968,190450.0,1
85,41.0,no,desconocido,1652.34126984127,desconocido,10,4,desconocido,86,4,female,69.53208262471655,3,4,manager,2,desconocido,13345.83,34699.17,1,desconocido,desconocido,19,3.0,2,desconocido,0,10.0,2,3.0,22,0,4,1982,53914.11,yes
86,39.0,no,travel_rarely,991.8174603174604, Research & Development ,1,3,desconocido,87,3,female,123.97718253968254,4,3,healthcare_representative,4,desconocido,8010.83,20828.17,0,desconocido,No,17,3.0,1,Part Time,3,19.0,5,2.0,18,3,7,1984,96130.0,0
87,38.0,no,desconocido,1187.5396825396826,desconocido,15,2,Life Sciences,88,3,female,148.44246031746033,2,3,research_director,4,desconocido,4492.84,24938.33,0,desconocido,desconocido,14,3.0,2,Full Time,1,10.0,3,3.0,11,2,9,1985,115100.0,1
88,43.0,no,desconocido,1582.7713464696226,desconocido,12,3,desconocido,89,1,female,69.53208262471655,2,4,research_director,2,desconocido,12783.92,33238.2,1,desconocido,No,11,3.0,3,Full Time,1,10.0,3,3.0,25,3,9,1980,153407.07,true
89,31.0,no,desconocido,444.26984126984127,desconocido,30,2,desconocido,90,2,male,69.53208262471655,3,2,manufacturing_director,1,Married,3588.33,9329.67,1,desconocido,No,12,3.0,2,desconocido,1,13.0,5,1.0,13,3,12,1992,53914.11,yes
90,50.0,no,travel_rarely,1758.7142857142858, Research & Development ,27,4,Life Sciences,91,27,female,69.53208262471655,2,4,manager,3,Marreid,14205.0,36933.0,0,Y,No,15,3.0,2,Full Time,1,28.0,2,3.0,27,15,7,1973,170460.0,true
91,35.0,no,desconocido,1032.4872861766066,desconocido,25,3,Technical Degree,92,4,female,129.06091077207583,2,3,manufacturing_director,2,Married,8339.32,21682.23,3,Y,No,16,3.0,1,Part Time,0,10.0,2,3.0,13,4,8,1988,100071.84,0
92,47.0,no,desconocido,522.7857142857143,desconocido,16,4,desconocido,93,3,female,69.53208262471655,4,2,manufacturing_director,3,desconocido,4222.5,10978.5,1,desconocido,Yes,19,3.0,3,desconocido,0,20.0,3,3.0,19,2,7,1976,53914.11,yes
93,35.0,no,desconocido,1032.4872861766066, Research & Development ,25,4,desconocido,94,3,male,129.06091077207583,3,3,healthcare_representative,3,Divorced,8339.32,21682.23,1,desconocido,Yes,11,3.0,3,Part Time,1,10.0,3,2.0,16,10,1,1988,100071.84,1
94,40.0,no,travel_rarely,1032.4872861766066,desconocido,20,4,desconocido,95,1,female,129.06091077207583,3,3,healthcare_representative,4,Married,4492.84,21682.23,4,Y,desconocido,20,4.0,4,Part Time,1,14.0,6,3.0,11,11,1,1983,100071.84,1
95,45.0,no,desconocido,556.2566609977324, Sales ,9,4,Life Sciences,96,2,male,69.53208262471655,2,2,sales_executive,3,Married,4492.84,11681.39,1,Y,desconocido,13,3.0,4,Part Time,1,15.0,2,3.0,15,4,12,1978,53914.11,0
96,33.0,no,desconocido,290.03550973654063, Research & Development ,9,3,Medical,97,1,female,69.53208262471655,3,1,research_scientist,4,Married,4492.84,6090.75,0,Y,desconocido,13,3.0,2,desconocido,1,15.0,5,3.0,14,4,10,1990,28111.13,false
97,36.0,no,travel_frequently,380.9206349206349,desconocido,3,3,desconocido,98,3,female,69.53208262471655,3,1,research_scientist,2,Married,3076.67,7999.33,1,Y,No,12,3.0,3,Full Time,0,12.0,2,2.0,11,0,7,1987,36920.0,false
98,45.0,yes,desconocido,1973.9841269841268,desconocido,13,3,Marketing,99,1,male,246.74801587301585,1,5,manager,2,desconocido,15943.72,41453.67,2,desconocido,Yes,16,3.0,1,Full Time,0,26.0,2,3.0,24,1,11,1978,191324.62,true
99,51.0,no,travel_frequently,2047.7063492063487,desconocido,27,3,desconocido,100,27,female,255.96329365079364,3,5,manager,2,desconocido,4492.84,43001.83,4,desconocido,Yes,24,3.0,1,Full Time,1,10.0,5,2.0,29,11,10,1972,198470.0,0
100,34.0,no,travel_rarely,238.12698412698413,desconocido,7,2,Technical Degree,101,2,female,69.53208262471655,3,1,sales_representative,3,desconocido,4492.84,5000.67,0,desconocido,Yes,25,4.0,2,Part Time,1,12.0,4,3.0,11,5,7,1989,23080.0,0
101,43.0,no,travel_rarely,1582.7713464696226, Research & Development ,15,2,desconocido,102,3,female,69.53208262471655,2,4,research_director,3,desconocido,4492.84,33238.2,1,desconocido,No,24,4.0,1,Full Time,1,10.0,3,3.0,14,6,11,1980,153407.07,1
102,34.0,no,desconocido,556.2566609977324,desconocido,5,2,Medical,103,2,female,69.53208262471655,2,2,laboratory_technician,4,desconocido,4492.84,11681.39,1,Y,No,14,3.0,3,Part Time,1,10.0,3,3.0,15,4,13,1989,53914.11,0
103,38.0,no,desconocido,290.03550973654063,desconocido,2,3,desconocido,104,1,female,69.53208262471655,3,1,human_resources,2,Divorced,2342.59,6090.75,5,desconocido,No,13,3.0,4,Part Time,3,13.0,3,3.0,11,3,8,1985,28111.13,1
104,48.0,no,desconocido,1973.9841269841268,desconocido,10,3,desconocido,105,4,female,69.53208262471655,2,5,research_director,2,desconocido,4492.84,41453.67,4,Y,No,12,3.0,4,Full Time,0,29.0,3,3.0,22,12,9,1975,191324.62,0
